"","modified_excerpt","dref_dimension"
"2653","There was a concern regarding the protection of volunteers from potential hazards such as collapse of damaged
houses/buildings, unidentified traps caused by damaged infrastructure, and harsh weather conditions. The DPRK
RCS national headquarters provided the volunteers with supplies necessary for the fieldwork by distributing the
deployment kits.","Operations Support"
"2654","There was a delay in receiving the goods due to transportation, which then delayed the distribution activities in certain districts. Lessons Learned","Operations Support"
"2655","There was a delay in the payment of shopkeepers. Indeed, it took time to do the verification of beneficiaries benefiting from foodstuffs in shops and to get the invoices.","Operational Capacity"
"2656","There was a delay in the procurement and availability of NFIs due to a long customs clearance process.","Operations Support"
"2657","There was a delay in the shipment of NFIs from Port Vila to Ambae.","Operations Support"
"2658","There was a lack of field level coordination among the national level staff, field staff and volunteers.","Operational Capacity"
"2659","There was a lack of trained volunteers on epidemic control at the branch level.","Operations Support"
"2660","There was a large turnover of volunteers familiar with Red Cross Disaster operations, SPHERE standards in response and those trained in WASH and First Aid from the local communities. In addition, lack of access to water-based reliable means of transport to reach communities in remote areas especially in Zambezi, led to the staff having to travel on the river in precarious conditions. NRCS had to recruit and mobilise new volunteers to assist, while relying on local transport of hand dugout canoes.","Operations Support, Policy Strategy and Standards"
"2661","There was a need for a variety of sanitary products provided to women as women and girls often preferred different products - some preferring disposable sanitary towels while other used cloth.","Policy Strategy and Standards"
"2662","There was a need for training of additional volunteers, as there is continuous movement of volunteers.","Operations Support"
"2663","There was a one-month delay in transferring the third allocation to RRCS. The NS is currently on Working
advance system and needed to account for the previous two transfers before receiving the third transfer. It
took time to collect returns from the 11 districts, which delayed the transfer. The third allocation was transferred
one month after the end of the operation to reimburse for costs incurred during the operation timeframe.","Operational Capacity"
"2664","There was a shortage of MHM kits. A total of 250 female population was based on the initial assessment data. However, number of women has increased due to continuous movement of people, resulting in a shortage of MHM kits. Therefore, there is a need to constantly monitor and update population data throughout an emergency operation to inform and ensure an effective distribution of WASH NFIs.","Operations Support"
"2665","There was also a lack of consistency and quality of information obtained from different district and state branches. Information provided was mostly based on secondary sources, though it should be based on an analysis of information gathered from the branches. There were inconsistencies in the information gathered and the information required for a DREF application. The senior management at the branches were not fully aware of the rules around DREF appeal management.","Operational Capacity"
"2666","There was also an identified need to create a feedback mechanism for persons who benefit from the TTRCS’ emergency medical services. This was an oversight on the National Society as there were no established systems for persons to lodge complaints or give feedback after medical care. This will be revised and implemented into the TTRCS’ CEA SOP for future operations.","Policy Strategy and Standards"
"2667","There was also confusion relating to completion of the forms for flood affected houses versus cyclone damaged houses. Resulting distributions were not consistently needs based with some households receiving shelter toolkits and tarpaulins when all they required were WASH items.","Operational Capacity"
"2668","There was also often not enough personal protective equipment (PPE) for volunteers and staff when implementing. This was a challenge in the early stages of the response whilst on Ambae with heavy ash fall.","Operations Support"
"2669","There was an insufficient number of proper rubber boots for volunteers to operate during removal of debris and
cleaning from mud. As a result, it was extremely difficult to approach the households.","Operational Capacity"
"2670","There was been a slight delay in procuring the hand-sanitizer, but was addressed accordingly. A similar challenge was encountered with purchasing the bicycles and megaphones, but this was also resolved and very soon led to an increase in people being reached.","Operations Support"
"2671","There was big need to increase the number of properly trained and skilled volunteers on the First Aid and PsychoSocial First Aid skills. GRCS has newly updated Contingency Plan, which includes mainly natural disaster response scenarios and SOPs, but it doesn’t have the scenario and SOP for the demonstrations. The NS staff are working on the updating of the SOP and demonstrations scenario. In case the demonstrations will gain bigger scale, the NS is lacking resources in the organization to respond properly to it.","Operations Support, Analysis and Planning"
"2672","There was confusion relating to completion of the initial damage assessment forms for flood affected houses versus cyclone damaged houses. Resulting distributions were not consistently needs based with some households receiving shelter toolkits and tarpaulins when all they required were WASH items.","Operational Capacity"
"2673","There was good collaboration between volunteers and local authorities/leaders during the distribution of roofing
materials. (WASH)","Coordination"
"2674","There was good coordination and collaboration between the National Society and national stakeholders, especially with the Governmental Emergency Response Commission and REACT partners","Coordination"
"2675","There was initial resistance from the local authorities as they did not understand why cash was being distributed
instead of in kind donations. Had to take time to explain to beneficiaries and local authorities on the cash assistance,
which took time in addition to the late implementation. (Shelter)","Operational Capacity"
"2676","There was limited coordination at interagency and government level due to Lao Governments directive to have a localised response. Along with no foreigners able to deploy into the field to support disaster response operation, there was also inconsistent information sharing of the needs on the ground.","Coordination"
"2677","There was low participation from the affected people at the beginning of the intervention activities, the people were focusing on rebuilding their lives and going back to work; furthermore, since there were other scheduled activities for water and sanitation and the distribution of relief items, additional time was needed for the  beneficiaries to participate. Therefore, the intervention was planned to be done jointly with the other activities to reach a higher number of people affected by the storm.","Operational Capacity"
"2678","There was no community radio in Tin Akoff intervention area through which information regarding the operation could be disseminated and shared with beneficiaries and other community members. As such, local and municipal authorities supported the operational teams in disseminating the relevant information. Traditional communication channels were also used through public advertisers who passed on useful information to beneficiaries.","Operational Capacity, Operations Support"
"2679","There was no focal regional point for the daily communication of Early Warnings especially from a community known and respected authorities responsible for Disaster Management and Response that could issue warnings and relocations. This posed a risk of messages being ignored that could expose communities to potential hazards. Ideally, this should be overseen by the Regional Disaster Risk Management Committees Chairpersons within the local government mandated to coordinate events at the regional level. In many cases, such messages were ignored on the basis that communities would lose their assets if to relocate to higher grounds while there was feeling that government would not provide relocating people with food and non-food items.","Coordination, Operational Capacity"
"2680","There was no in-house cash transfer expert in the Abuja Cluster office and the project had a short window to complete essential tasks such as the development of SOPs and baseline survey. Recruitment and deployment of RDRTs would have taken up some time and would not have allowed for all the key tasks to be completed on-time. This was an initial challenge but was overcome through the support of a CTP expert at regional office who provided remote guidance","Operational Capacity"
"2681","There was no lessons learned workshop conducted as initially planned for, as the political situation in Sudan affected
the possibility to conduct the workshop.","Operations Support"
"2682","There was no pre-existing mechanism in PRCS, to respond to an outbreak on such a large scale.","Analysis and Planning"
"2683","There was no previously identified national team to carry out advocacy and humanitarian diplomacy activities. It was formed after the first incidents with support from the General Secretariat, the Essential Areas office and the Principles and Values Programme.","Policy Strategy and Standards"
"2684","There was no reliable transport to rush volunteers to the accident site.","Operational Capacity"
"2685","There was relocation of the families foreseen in protection centers established from start to finish. Having to redesign and identify the changes to make the deliveries, bringing as consequences several unplanned visits and transportation planning and therefore higher fuel consumption.","Analysis and Planning"
"2686","There was room for improvement in terms of timeliness of service delivery, i.e. the cash grant reaches the needy population within a few days of the disaster's","Operational Capacity"
"2687","There was some difficulty in installing temporary shelters for people affected by the floods","Operational Capacity"
"2688","There was timely distribution of NFI’s, mosquito nets and kitenge. (Health)","Operational Capacity"
"2689","There wasn’t a formal feedback mechanism that was setup within the communities. It would be important to have a formal complaint and feedback mechanism with clear processes set up to ensure complaints are recorded and actions and responses are undertaken for each complaint.","Policy Strategy and Standards"
"2690","There were a few lessons learnt for the health flood response. This included that more volunteers should be involved in future projects to enable proper coverage and attending to the needs of the beneficiaries.","Policy Strategy and Standards"
"2691","There were a lot of needs compared to the support available and people reached. Many more families were affected, and some others did not receive support. In addition, 80% of the supported families were being hosted by their relatives and families, which increased the size of the target household.","Operational Capacity"
"2692","There were also a number of cases where branch level stock holdings of relief items actually held were different to what was recorded and had been reported to national office. Numbers of PPE items held at branches also varied. This then caused delays in distribution due to NFI and PPE replenishment to branches needing to occur from national office stocks before distribution could occur.","Operations Support"
"2693","There were also challenges with logistics and transport particularly on Kadavu where there is limited road access and vehicle rental was limited and expensive, along with fuel costs. These issues were overcome through logistics support from Suva (which caused delays due to reliance on ferry schedule) and close coordination with the provincial administration to gain transport support and FRCS provided fuel.","Analysis and Planning"
"2694","There were contextual setbacks that affected access due to road and sea safety. The restriction of movement meant FRCS was not able to respond within 72 hours.","Analysis and Planning"
"2695","There were delays in health awareness activities being conducted in communities. This was due to the Health
Coordinator not being included in the planning stage of the operation which meant that health activities were not
initially included in the EPoA. Lack of IEC materials already developed and printed also caused delays in having
the required information ready in order to be able to disseminate to the affected communities","Operational Capacity"
"2696","There were initial challenges with the importing of international aid, which were overcome with support from the authorities","Analysis and Planning"
"2697","There were lack of standard operating procedures and limited reporting and documentation guidelines to capture experiences and challenges during the disaster situation","Operations Support"
"2698","There were many actors with few capacities to assist the affected population. Haiti Red Cross has selected with the DPC the municipalities that it was going to assist","Coordination"
"2699","There were many challenges with health as people were at first facing large ash falls in Ambae which had a significant effect on respiratory health of the population. The ash fall also had an effect on the availability of fresh foods and consequently the nutritional status of the affected people. This, coupled with the high density of people living in evacuation sites with limited capacity for hygiene, increased the risk of disease spreading. There continues to be a high level of concern for populations in evacuation sites with as many as 500 people occupying one camp in some areas.","Operational Capacity"
"2700","There were many families in need compared to the targeted beneficiaries of DREF","Operational Capacity"
"2701","There were many families in need compared to the targeted beneficiaries of DREF and to what the evaluation expected.","Policy Strategy and Standards, Operational Capacity"
"2702","There were more families in need compared to the ones targeted by the DREF. To prevent the risk of tension between affected households and host families, the distribution was extended to 1,263 host families.","Operational Capacity"
"2703","There were network/connectivity challenges in some areas affecting transfer of funds or notification of successful
transfers  (Shelter)","Operational Capacity"
"2704","There were no official data available from the Civil Protection System when the plan was formulated, so the number of people affected changed.","Operational Capacity"
"2705","There were no shops and therefore no shop keeper in the targeted villages. Besides, villages were 5 to 40 km far from Ngouri, the capital of the department. The negotiations with shopkeepers included that they transport foodstuffs to be distributed in the selected distribution sites.","Operational Capacity"
"2706","There were no unit volunteers involved in distribution due to inactive unit committee which hampered and slowed down the process. As a solution, BDRCS engaged 20 community volunteers (12 females, 8 males) to support the operation. Formation and active engagement of community volunteers was observed during the distribution process.","Operations Support"
"2707","There were not enough first aid supplies to equip all field teams for the entire duration of the operation. First aid supplies were used more quickly than anticipated.","Operational Capacity"
"2708","There were not enough volunteers who had been trained in emergency shelter installation. The National Disaster Response Team (NDRT) gave short, on-site training to volunteers and community people on the method of temporary shelter installation.","Operations Support"
"2709","There were serious challenges from the TTRCS to reach the communities; a significant percentage of beneficiaries missed the distribution dates.","Analysis and Planning"
"2710","There were significant delays with the implementation of these actions.","Operational Capacity"
"2711","There were similar challenges in terms of access and distribution of hygiene parcels","Analysis and Planning"
"2712","There were some difficulties installing temporary shelters for people affected by the floods as there were not enough volunteers who had been trained in emergency shelter installation.","Operational Capacity"
"2713","There were some difficulties installing temporary shelters for people affected by the floods.","Operational Capacity"
"2714","There were some initial issues with the cards' activation which were overcome","Operational Capacity"
"2715","There were some logistical issues with the transport of humanitarian items to be distributed in targeted communities. The National Society's 12-tonne truck broke down, which required transferring the items to other vehicles to be able to deliver them on time.","Operations Support"
"2716","There were some logistical issues with the transport of humanitarian items to be distributed in targeted communities. The National Society's 7-ton truck broke down, which required transferring the items to other vehicles to be able to deliver them on time.","Operations Support"
"2717","There were very few existing data collection templates for health activities and these had to be created. This caused confusion for volunteers who had only previously been trained in the use of the standard disaster distribution forms. As such, some of the data was recorded incorrectly.","Operational Capacity"
"2718","Therefore, up-skilling the ERT to PERT and also include provincial disaster committee (Information management and analysis included, shelter training and shelter in emergency training included, safety and security workshop also included). Additionally, upon these training, each VRCS branch and provincial committee to be provided with safety equipment, standard emergency tool kits.","Analysis and Planning"
"2719","These materials should be translated into Guarani.","Operations Support"
"2720","Thirdly, it is clear that there is a need for more awareness to the Vanuatu Government to clarify the VRCS Role as an Auxiliary to the Government.","Policy Strategy and Standards"
"2721","Thirty volunteers were trained from all the nooks and crannies of Kouango. Their per diem was increased to allow them to move more easily.","Operations Support"
"2722","This created delays in dispatching relief goods from the warehouse close to the capital Delhi, which in turn resulted in delays in the distributions themselves","Operational Capacity"
"2723","This DREF operation has given the divisional and sub divisional committees of Cameroon Red Cross a unique opportunity to gather good disaster management experience. By providing assistance to the most vulnerable 221 families (1 105 people), and reaching about 18 719 people directly and indirectly with hygiene promotion and sanitation activities, the NS has gained popularity and acknowledgement from both the populations and administrative and political authorities in the West region of Cameroon. In fact, the ceremony to distribute NFIs was presided over by the National President of Cameroon Red Cross and the Secretary General in the services of the Governor of the West region of Cameroon. A member of parliament of the Menoua constituency (the division where Santchou is located) sent an acknowledgement letter to the national President of the Cameroon Red Cross in which she renewed the support of her constituency to the activities of the Red Cross.","Operational Capacity"
"2724","This emergency operation showed that revitalizing the community-based early warning system was of great importance to save the lives of the people. It also showed that awareness-raising activities should be conducted to help community people understand more about natural hazard and their aftereffects, and to help them change chronic attitudes that natural hazard will not lead to disaster in their communities.","Analysis and Planning"
"2725","This emergency operation showed that revitalizing the community-based early warning system was of great importance to saving the lives of the people. It also showed that awareness-raising activities should be conducted to help community people understand more about natural hazard events and their aftereffects, and to help them change chronic attitudes that natural hazard events will not occur in their communities.","Operational Capacity"
"2726","This gap stems from cultural barriers with the targeted community, as communicating good health and hygiene practices was not easy to do; consequently, these actions could have been much more effective and comprehensive if there had been more time to prepare","Policy Strategy and Standards"
"2727","This is PMI Samarinda first experience collaborating directly with the local radios to conduct health and hygiene promotion. Despite the confusion at the beginning of the process, with proper communication with the finance team regarding the administration and PMI and IFRC CEA focal point, PMI Samarinda successfully completed the activity through the broadcast of Public Service Announcement and talk shows, engaging experts from different elements such as the hospitals, and academics.","Policy Strategy and Standards, Operations Support"
"2728","This is the first time BRC had implemented a cash transfer program, so this experience leaves installed capacity at the NS.","Operational Capacity"
"2729","This is the first time the National Society was involved in an emergency response operation that formally included gender and diversity lines. Although volunteers received induction training on the subject matter, the sample reports included data collection and analysis for which the URC lacked specific procedures","Operational Capacity"
"2730","This newly identified target group of RCM beneficiaries were not recognized or assisted by the state authorities or the UN agencies. RCM was the only organization providing humanitarian assistance to this group of migrants, who are very vulnerable and at a high risk of different forms of exploitation, trafficking or smuggling.","Operational Capacity"
"2731","This operation has demonstrated the need to pre-position basic relief items in localities exposed to disasters such as floods, to enable volunteers to truly assist the population from the very first hours of the disaster.","Operations Support"
"2732","This process should begin with the evaluation and planning for the purchase of the necessary supplies as soon as the operation begins. This means will provide more time to identify and purchase alternative products if some of the initially chosen items are not available.","Operations Support"
"2733","This programme required continues support from the PFA trained volunteers, but due to personal commitments there were some dropouts. Where SLRCS had to find new volunteers and train them.","Operational Capacity"
"2734","This was the first time that VRCS partnered with the Health Surveillance Unit – although the partnership was very
beneficial – there were considerable challenges in ensuring every area in Ambae was reached by nurses and VRCS
volunteers who had been trained in health surveillance.","Coordination"
"2735","This will also create better communication channels between branch and NHQ, by forcing the discussion surrounding the creation of the contingency plans, which will improve coordination, and therefore improve efficiency of disaster response","Operational Capacity"
"2736","Though there were feedback mechanisms (drop boxes) placed in the areas, the complaints or questions that staff and volunteers received were all course through verbally, because the people were hesitant to use the drop boxes. People shared their concerns during psychosocial support sessions.","Policy Strategy and Standards"
"2737","Three training sessions had to be carried out because there were not enough volunteers at the beginning of the operation for the dissemination campaigns.","Operational Capacity"
"2738","Through the implementation of this DREF, MRCS has learnt that it is important to have some stock prepositioned
which can be distributed once a disaster has been reported. As Malawi is affected by floods on an almost yearly basis,
there is need for contingency planning to ensure effective response to the floods. This is also something that can be
built into long term programming especially by having a crisis modifier budget which can be activated at the time of
the floods. (Shelter)","Operations Support"
"2739","Through the lessons learned from this DREF Operation, the SRCS will in the future, go for international procurement
through the IFRC logistic to facilitate the DREF operation management, implementation and smooth reporting.  (Health)","Operations Support"
"2740","Through the toll-free line and coordination through the Emergency Coordination Centre, KRCS
received real time information on what was happening on the ground. This informed the timely
response to emergencies that arose particularly around the elections held on 8 August.","Operational Capacity"
"2741","Through the TRCS work operating a school for disabled, and their engagement with PLWD throughout the response, there has been a flow on effect of an increase in enrolments at their school since TC Gita due to the families TRCS assisted recognizing the positive affect of TRCS providing assistance to them and their children","Operational Capacity"
"2742","Through these trainings and IEC materials, the visibility of Red Cross in the communities was enhanced and strengthened.","Operational Capacity"
"2743","Through working with the community over time, KRCS has gained acceptance from the community in
most parts of the country which enabled access to areas that had been barricaded and locked off. This
was witnessed in informal settlements in Nairobi and Kisumu. Timely response was achieved, allowing
responders to reach affected persons promptly","Analysis and Planning"
"2744","Throughout the operation, PMI documented 174 feedback/complaints/questions from the affected population in their CEA logbook (information management system). It is postulated that many details from the displaced people were not recorded, but did indeed take place at the evacuation centers due to a lack of human resources at the provincial and district levels. There could have been dedicated support and supervision on this component. It was assessed that the response teams often held a broad responsibility to manage various needs of the response and regular programming, thus overlooking efforts to maximize CEA work. In addition, observations from the socio-cultural and religious aspects of Bali show that local communities are reluctant to express their feedback. This is especially so when done to individuals and aid organizations that have helped them through their hardships and difficult times. Despite the wide promotion of feedback loops in the communities that PMI served during the response, there were less inquiries provided by the community members due to these socio-cultural norms.","Policy Strategy and Standards"
"2745","Time constituted a constraint. According to the operational team, delivering proper food assistance to 9,893 people, most of them spread across 140 villages required longer time.","Operational Capacity"
"2746","Time frame which was given to conduct the Dengue Free School Competition was a challenge due to the school holidays and term tests .To overcome this, branch coordinators informed the schools regarding the competitions before the holidays so the children were prepared to face the competition when the schools reopened.","Operational Capacity"
"2747","Time was a limiting factor in provisioning necessary response items to the affected population. This challenge
is attributed to the fact that SRCS didn’t have prepositioned stocks particularly WASH and shelter materials that
it could use to quickly reach out to the population in need.  (WASH)","Operational Capacity"
"2748","time was lost trying to re-establish contact with the beneficiary families who did not show up to receive aid  differences in rules and criteria between the local authorities and TRC","Operational Capacity"
"2749","Timeline for implementation of the DREF operation was extended by one month from the initially approved timeline for technical closure on 27 November 2017. The extension was mainly considered to meet the financial closures, for which bills and vouchers were delayed from the IRCS branches as well as receipt of replenished material (kitchen sets) at IRCS’ Noonmati warehouse in Assam.","Operations Support"
"2750","Timely DREF funding and subsequent disbursement to the National Society resulted in the NRCS field visits to document the events in the communities and enable advocacy for more resources mobilisation. The NRCS had to use its own funding not related to this operation to conduct field visits, though they were later reimbursed by the operation. In addition, the limited Communications staff familiar with Communications and Diplomacy within the NRCS resulted in work backlog for the only Communications Manager who struggled to make time out to travel to the field. NRCS has since recruited an intern who still needs a lot of mentorship and guidance in Communications especially, within the Red Cross Movement.","Operational Capacity"
"2751","Timely reporting from TRC branches with comprehensive information from the affected areas is crucial for quick response support from HQ.","Operational Capacity"
"2752","To achieve greater participation by communities and staff in the region, the lessons learned workshop was held on a weekend in Puntarenas, although this limited participation by the administrative structure.","Operations Support"
"2753","To address this challenge, as part of preparedness, IRCS will ensure that strategic stock levels are maintained at the central and regional warehouses.","Operations Support"
"2754","To avoid duplication of aid to a same family, the Red Cross teams had to carry out several screenings due to the poor availability of identification documents and similarity of names.","Operational Capacity"
"2755","To avoid stock depletion and the discouragement of women, the Health Centres should be given a minimum of health kits or medical inputs and reinforce the partnership with them. WFP and UNICEF, in charge of providing food input respectively for moderate and severe cases, are required to regularly monitor the stock of food inputs at the health centres","Coordination"
"2756","To be able to respond more effectively and efficiently to future disasters, emergency materials for health activities should be stocked in local branch warehouses, and first aid consumables should be supplied on a regular basis to FA posts.","Operations Support"
"2757","To be able to respond more effectively and efficiently to future disasters, regular supply of FA consumables to the FA posts should be seriously considered","Analysis and Planning"
"2758","To be able to work in a timely and efficient manner during the planning and organizing of activities, operational
personnel must be hired at the earliest stage of the operation.","Operations Support"
"2759","To better understand the overall displacement issue, it is recommended to conduct assessment in both affected areas and where the displaced people migrated.","Operational Capacity"
"2760","To build capacity of staff and volunteers dedicated efforts are required towards training and eventually standardizing practices – during emergency and peace time.","Analysis and Planning"
"2761","To conduct capacity building (refresher training on disaster preparedness and response, DM mechanisms and procedures, First Aid and psychosocial support – PSS, coordination and cooperation, documentation and filing system) for the newly-recruited staff and volunteers of both branches involved in the response operation","Operations Support"
"2762","To conduct regular knowledge exchange meetings engaging other RCST branches, experienced in preparedness and response.","Coordination"
"2763","To conduct regular training for branch volunteers, establish local disaster management committees (LDMCs) (15- 20 members in each) at branch level and equip them (vests, T-shirts and caps with Red Cross logo) and make DP stocks of NFIs for at least 20 families each;","Analysis and Planning"
"2764","To consider cash transfer activities in future emergency response operations","Operational Capacity"
"2765","To consider privacy of woman in a household if the family size is too big and provide tarpaulin according to
household size.","Policy Strategy and Standards"
"2766","To cover costs for electricity bills, the National Society implemented the tested and used procedure of the The Jewish Community of the Republic of Moldova in the country. The RDRT delegate during his visit also suggested another way to manage the operation through the cash distribution instead of covering separate bills for electricity. Even though the National Society did not use it during this DREF operation, it might consider it for the future programs.","Operational Capacity"
"2767","To create a sense of ownership and self-reliance among the community it is crucial to engage them as key stakeholders. Develop Water Committees, that can be trained on Operations and Maintenance (O&M) for the long-term upkeep of solar powered water pumps","Policy Strategy and Standards"
"2768","To designate a technical counterpart from the PRC to be coached by the CBI RIT and thus ensure the continuity and replication of the experience and knowledge gained for the NS' volunteers and staff.","Operational Capacity"
"2769","To develop a clear CEA mechanism","Policy Strategy and Standards"
"2770","To develop and approve policies and strategies on DM","Policy Strategy and Standards"
"2771","to develop Pro-Forma emergency plan of action for floods operation as a readiness plan.","Analysis and Planning"
"2772","To ensure information sharing regarding Surge’ deployments which have to be officially approved by the NS","Coordination, Operational Capacity"
"2773","To ensure proper coordination with all relevant stakeholders, to ensure that activities are channeled towards the vulnerable communities immediately after disaster strikes, to avoid last minute changes","Coordination"
"2774","to ensure sufficient prepositioned stocks such as tarpaulins, mosquito nets, kitchen sets and other non-food 
items.","Operations Support"
"2775","To ensure the safety of staff and volunteers in the locations in which this operation was being implemented, preventive measures were established for the different risks present in the areas targeted by the operation, such as public and health risks, among others.","Operations Support, Analysis and Planning"
"2776","To establish a framework agreement with a service provider, identified on the basis of IFRC procedures, with a nation-wide coverage to be immediately activated when needed. The Sahel Country Cluster’ CASH Delegate and Logistic Officer already started providing guidance to the NS in this regard.","Analysis and Planning"
"2777","To establish a framework agreement with a service provider, identified on the basis of IFRC procedures, with a nation-wide coverage to be immediately activated. The Sahel Country Cluster’ CASH Delegate and Logistic Officer already started providing guidance to the NS in this regard.","Analysis and Planning"
"2778","To expand knowledge of national and regional migratory topics through training workshops for volunteers  and staff. Improve the mechanisms of registration of migrants served in the context of transit.","Operations Support"
"2779","to explore new modalities – Forecast based Financing (FbF), Cash and Voucher Assistance (CVA).","Analysis and Planning"
"2780","to fast track fund transfer to expedite implementation.","Operations Support"
"2781","To find the ways of conducting CTP for RCST ERC Coordinators and key staff","Operations Support"
"2782","To further promote the use of Kobo for the beneficiaries’ registration, which was done manually, and another digitalisation tool such as beneficiary card with barcode. Considering the limited number of beneficiaries, this was not an issue for the operation. However, it could be for larger ones.","Operational Capacity"
"2783","To gather and share experiences with the delegations not involved in the response to the migratory crisis.","Analysis and Planning"
"2784","To gather more detailed information on the overall drought context and situation of affected communities and on the extent and type of the most critical humanitarian needs, both in the immediate and longer term was challenge without detailed need assessment.","Operational Capacity"
"2785","To generate greater benefits to the population, activities must be in coordination with partners, combining informational activities carried out by BRC volunteers with those carried out by the SEDES vaccination team in order to avoid missed opportunities (people willing to get vaccinated).","Coordination"
"2786","To get additional people from local authorities in LLWs for getting full picture of DREF Operations.","Operations Support"
"2787","To get approval from National Dengue Control Unit for Veta app was a challenge. Had to condcut several discussions to obtain the approval which delayed the implementation.","Coordination"
"2788","To guarantee a response adapted to the needs of the population, it is necessary to define in a participatory way the composition of the hygiene kits, according to the different needs of the vulnerable population groups (older adults, pregnant women, children and girls). As part of the knowledge gained, it is recommended to carry out this identification process from an early stage of the intervention.","Operational Capacity"
"2789","to have adequate HR support such as PMER/Finance both at the states and NHQ for timely narrative and financial reporting.","Operations Support"
"2790","to have contingency funds for NHQ and states.","Operations Support"
"2791","To have formal agreements with the local governmental and non-governmental organizations such as labor and social care office, food and agricultural office, and Khan Bank to cooperate during and pre-disaster at the local level.","Coordination, Analysis and Planning"
"2792","to have interim review for DREF operation and identify key issues to be resolved rather than keeping them pending till the end of the operation.","Operations Support"
"2793","To have proper guidelines/standard operating procedures (SOPs)/reporting template for better implementation of operation.","Analysis and Planning, Operations Support"
"2794","To have transversal strategies that include, from a community perspective, an Integral Risk Management approach that gives us the possibility to better quantify the levels of resilience.","Policy Strategy and Standards"
"2795","To hire responsible staff for volunteers","Operations Support"
"2796","To improve the logistics and supply chain system and fleet management of GRCS","Operations Support"
"2797","To improve: The branch's ownership of the EPoA","Operational Capacity"
"2798","To improve: The work with the government at the provincial and municipal level.","Coordination"
"2799","To include finance briefing in the orientation module.","Operations Support"
"2800","To include sanitation and waste management as part of the EVD operation and advocate for it towards
partners.  (WASH)","Analysis and Planning"
"2801","To inform Government Bodies on Cash initiatives started by RCST and possible further use in the future","Coordination"
"2802","To initiate discussions with the CoES and local authorities about having a pre-agreed MoUs in place in order to better address the needs of affected people, given that response activities are conducted in close cooperation with the CoES and local authorities.","Analysis and Planning"
"2803","To involve more representatives from local authorities as participants of the lessons learned workshop in the framework of future emergency response operations in order to give them an opportunity to get an overview of the relief operation process, problems faced and find solutions.","Policy Strategy and Standards"
"2804","To keep informed and conduct refresher training for newly joined RCST PO members","Operations Support"
"2805","To maintain capacity to meet all needs of the HHs and sometimes with large numbers of families coming to
the transit camp together.","Operational Capacity"
"2806","To maintain close contacts with authorities in place for the getting permission in earliest possible for distribution aid according to RC/RC mandate","Coordination"
"2807","To negotiate with authorities on providing urgent assistance in kind of NFIs by RCST at least in the first days after disasters","Coordination"
"2808","To overcome this obstacle, the URC increased its inter-institutional coordination efforts with the National Emergency System and its Departmental Emergency Coordination Centre, thus ensuring the availability of vehicles with the capacity to access the most remote areas. Lessons Learned","Coordination"
"2809","To pair surge support with NSs staff and/or a volunteer for skills transfer.","Operational Capacity"
"2810","To persuade CoES on getting permission from the Government for cash assistance","Operational Capacity"
"2811","To prepare a map of most disaster-prone areas of the country,. Creation of disaster preparedness stocks (non-food items) for 20 families in each stock;","Analysis and Planning"
"2812","To promote the use of tools different from the DREF to respond to floods disasters of medium scale. This includes the FbF for which an Early Action Protocol for floods disaster was presented by the NS in April 2020 and for which the revision and evaluation processes are still ongoing.","Operational Capacity"
"2813","To provide them with necessary equipment and uniforms.","Operational Capacity"
"2814","To receive data from the health facilities has been challenging but eventually streamlined the process through discussion with MoPH at HQ level leading to a quicker sharing of information on numbers reached.","Coordination"
"2815","To revaluate the opportunity for continuing the operation on the base of results achieved at the 4th month of implementation, coupled with an analysis of type of activities and modalities for their implementation.","Operations Support"
"2816","To review and standardize the template form shelter activities","Analysis and Planning"
"2817","To review assessment form (change age to date of birth, need community leader to help volunteer to conduct assessment & convert to ODK).","Operational Capacity"
"2818","To revise the number of goods in the standard set of NFIs to increase it from four to six units per family is recommended to IFRC. This measure is necessary and identified by the results of the interviews with beneficiaries and the existing practices of the National Society","Analysis and Planning"
"2819","To sensitize the beneficiaries on the relevance of opening a mobile money account using their real name, it was necessary to monitor each number/account using the MTN system and double check with the beneficiaries.","Operational Capacity"
"2820","To sign new MoU with “Orienbank” or “Amonatbonk” regarding possibility of using their local branches in the
future","Analysis and Planning"
"2821","To simplify the deployment procedures.","Analysis and Planning"
"2822","To speed up the RDRT deployment process and to bring them to the country at the beginning of response operations","Operational Capacity"
"2823","To speed up the response and to provide support to the affected people at the early stage or in the first day of a
disaster","Analysis and Planning"
"2824","To strengthen and expand the FA provision of RCM, it would be essential to establish mobile teams, which could then reach all sites where migrants are staying.","Operational Capacity"
"2825","To strengthen awareness works with community members living in prone to natural disaster areas to avoid misunderstanding during assessment and distribution of shelter-related support","Policy Strategy and Standards"
"2826","To strengthen coordination with local authorities and population, as well as mass media in order to convey the correct information about the RCST mandate and its activities;","Operations Support"
